Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. 40:535","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-40-sect-535.html","Ineligible to serve as housing authority commissioner","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Real estate & property|Public assistance & food stamps|Public employment|Public office|Housing benefits & programs","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 40:537","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-40-sect-537.html","Remove as commissioner of local housing authority/landlord commissioner","1","(A)(1), (6)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Real estate & property|Public assistance & food stamps|Public employment|Public office|Housing benefits & programs","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 46:51.2","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-46-sect-51-2.html","Ineligible to serve as employee/volunteer with child care provider organization/maternity/group home","1","(A)(12)
(F)","Additional offense details:
La. R.S. 15:587.1(C)

Other triggering offenses:
Offenses related to contributing to the delinquency of juveniles
Offenses related to cruelty to the infirmed","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","Controlled substances offenses|Crimes of violence, including 'person offenses'|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 56:69.4","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-56-sect-69-4.html","Ineligible for commission as wildlife/fisheries auxiliary agent","1","1","See also:
La. R.S. 56:69.2
La. R.S. 56:31 through La. R.S. 56:37.1

Other triggering offenses:
Offenses related to the wildlife/fisheries

","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Public employment|Public office|Wildlife, fish & game","Any felony|Any misdemeanor|Other","Mandatory/Automatic","Indefinite"
"La. R.S. 56:69.8","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-56-sect-69-8.html","Revoke commission as wildlife/fisheries auxiliary agent","","(A)(1)","See also:
La. R.S. 56:69.2
La. R.S. 56:31 through La. R.S. 56:37.1

Other triggering offenses:
Offenses related to the wildlife/fisheries","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Public employment|Public office|Wildlife, fish & game","Any felony|Any misdemeanor|Other","Mandatory/Automatic","Indefinite"
"LAC 28:CLXI.1701","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to work as volunteer/staff member/employee/independent contractor at early learning center","1","(A)","Additional offense details:
La. R.S. 15:587.1(C)

Background check:
LAC 28:CLXI.1703
LAC 28:CLXI.1717

Other triggering offenses:
Offenses related to contributing to the delinquency of juveniles
Offenses related to cruelty to persons with infirmities","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs|Education & schools","Crimes of violence, including 'person offenses'|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 28:CLXI.505","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to directly/indirectly own/operate/participate in the governance of an early learning center","1","All","Additional offense details:
La. R.S.§ 15:587.1(C)
18 U.S.C. 287
18 U.S.C. 1341
La. R.S. 14:67.11
La. R.S. 14:68.2
La. R.S. 14:70
La. R.S. 14:70.1
La. R.S. 14:70.4
La. R.S. 14:70.5
La. R.S. 14:70.7
La. R.S. 14:70.8
La. R.S. 14:71
La. R.S. 14:71.1
La. R.S. 14:71.3
La. R.S. 14:72
La. R.S. 14:72.1
La. R.S. 14:72.1.1
La. R.S. 14:72.4
La. R.S. 14:72.5
La. R.S. 14:73.5
La. R.S. 14:133

Background check:
LAC 28:CLXI.507
LAC 28:CLXI.701 
LAC 28:CLXI.703

Relief:
LAC 28:CLXI.1105(A)(2)

Other triggering offenses:
Offenses related to contributing to the delinquency of juveniles
Offenses related to cruelty to persons with infirmities
","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Child care providers & youth programs|Education & schools","Crimes of violence, including 'person offenses'|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 28:CXIII.303","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for employment as full-time/substitute/activity school bus driver (DUI)","1","(A)
(C)(2)
(C)(3)(a)","Additional offense details:
La. R.S. 40:963 et seq.

Background check:
La. R.S. 17:15
La. R.S. 15:587.1","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Transportation & commercial motor vehicles|Public employment|Education & schools","Any felony|Controlled substances offenses|Crimes of violence, including 'person offenses'|Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"LAC 28:XXVII.3307","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/revoke right to operate commercial motor vehicle for school (DUI)","1","(A)(2)
(C)(1)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Public employment|Education & schools","Any felony|Controlled substances offenses|Motor vehicle offenses","Discretionary","Indefinite"
"LAC 37:XIII.5113","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny authorization to serve as officer/director/trustee of domestic insurer","1","(A)(2)","See also:
LAC 37:XIII.5105","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Trusts, estates & guardianship|Insurance sales & services","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Discretionary","Indefinite"
"LAC 46:LXVII.5319","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny certification as pre-license instructor for real estate school","1","(A)
(F)(1)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property|Education & schools|Teachers & instructors","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Discretionary","Indefinite"
"LAC 46:LXVII.5513","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny approval as post-license/continuing education instructor","1","(A)
(D)(1)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property|Education & schools|Teachers & instructors","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude|Public corruption offenses","Discretionary","Indefinite"
"LAC 46:LXXXV.1201","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for certificate of approval as certified animal euthanasia technician","1","(A)(6), (10), (11)","Additional offense details:
La. R.S. 37:1554(A)(9)","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Domestic animals|Veterinarians","Any felony|Any misdemeanor|Controlled substances offenses|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude","Mandatory/Automatic","Indefinite"
"LAC 46:XL.120","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny certification as home inspector education provider","1","(A)
(B)(1)
(B)(5)(a)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation|Occupational & professional licensure & certification","Education & schools|Teachers & instructors|Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude","Discretionary","Indefinite"
